time,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,precipitation,snowfall,cloudcover,latitude,longitude
2025-12-10 03:00:00,3.2,45,4.2,0.0,0.0,0.0,0,44.0,7.4
2025-12-10 04:00:00,2.7,42,5.1,0.0,0.0,0.0,0,44.0,7.4
2025-12-10 05:00:00,3.0,43,4.9,0.0,0.0,0.0,0,44.0,7.4
2025-12-10 06:00:00,2.9,46,5.2,0.0,0.0,0.0,0,44.0,7.4
2025-12-10 07:00:00,2.7,48,5.4,0.0,0.0,0.0,0,44.0,7.4
2025-12-10 08:00:00,3.3,45,5.3,0.0,0.0,0.0,0,44.0,7.4
2025-12-10 09:00:00,3.9,46,4.4,58.2,0.0,0.0,0,44.0,7.4
2025-12-10 10:00:00,6.6,45,4.1,195.2,0.0,0.0,0,44.0,7.4
2025-12-10 11:00:00,8.1,46,4.2,314.2,0.0,0.0,0,44.0,7.4
2025-12-10 12:00:00,8.5,47,4.5,387.0,0.0,0.0,0,44.0,7.4
2025-12-10 13:00:00,8.9,40,6.9,408.8,0.0,0.0,0,44.0,7.4
2025-12-10 14:00:00,8.6,43,5.9,374.5,0.0,0.0,0,44.0,7.4
2025-12-10 15:00:00,7.9,52,3.8,288.5,0.0,0.0,0,44.0,7.4
2025-12-10 16:00:00,6.8,66,1.0,162.0,0.0,0.0,0,44.0,7.4
2025-12-10 17:00:00,4.9,65,2.3,32.2,0.0,0.0,0,44.0,7.4
2025-12-10 18:00:00,4.0,69,3.4,0.0,0.0,0.0,0,44.0,7.4
2025-12-10 19:00:00,3.8,63,4.7,0.0,0.0,0.0,0,44.0,7.4
2025-12-10 20:00:00,3.7,57,4.2,0.0,0.0,0.0,0,44.0,7.4
2025-12-10 21:00:00,3.3,57,5.0,0.0,0.0,0.0,0,44.0,7.4
2025-12-10 22:00:00,2.8,56,5.4,0.0,0.0,0.0,0,44.0,7.4
2025-12-10 23:00:00,3.1,53,5.5,0.0,0.0,0.0,0,44.0,7.4
2025-12-10 00:00:00,5.2,58,6.0,0.0,0.0,0.0,0,44.0,7.72
2025-12-10 01:00:00,4.5,66,4.6,0.0,0.0,0.0,0,44.0,7.72
2025-12-10 02:00:00,4.3,66,3.8,0.0,0.0,0.0,0,44.0,7.72
2025-12-10 03:00:00,4.4,63,5.5,0.0,0.0,0.0,0,44.0,7.72
2025-12-10 04:00:00,3.8,63,3.2,0.0,0.0,0.0,0,44.0,7.72
